index,latitude,longitude,elevation_m
893,35.652135,-117.729821,90.0
894,35.652135,-117.72991,90.0
895,35.652136,-117.729998,90.0
896,35.652136,-117.730087,90.0
897,35.652136,-117.730175,90.0
898,35.652136,-117.730263,90.0
899,35.652136,-117.730352,90.0
900,35.652137,-117.73044,90.0
901,35.652137,-117.730528,90.0
902,35.652137,-117.730617,90.0
903,35.652137,-117.730705,90.0
904,35.652138,-117.730794,90.0
905,35.652138,-117.730882,90.0
906,35.652138,-117.73097,90.0
907,35.652138,-117.731059,90.0
908,35.652138,-117.731147,90.0
909,35.652139,-117.731235,90.0
910,35.652139,-117.731324,90.0
911,35.652139,-117.731412,90.0
912,35.652139,-117.7315,90.0
913,35.652139,-117.731589,90.0
914,35.65214,-117.731677,90.0
